Open,High,Low,Close,Adj Close,Volume,Returns_t-1,monthly_return
12.8125,12.9375,11.5,12.3125,8.004689,130600200,8.360033,-0.042505095374623325
12.25,13.75,12.0625,13.1875,8.573546,110966800,8.004689,0.07106547175037026
13.0625,15.25,13.0,14.3125,9.304939,122660200,8.573546,0.08530810938671096
14.3125,14.4375,12.5,12.5,8.135412,95352000,9.304939,-0.12568884116274148
12.6875,13.5,12.0625,13.25,8.623538,112135800,8.135412,0.060000157336837834
13.5625,14.5625,13.3125,14.1875,9.2337,101791600,8.623538,0.07075541384522221
14.1875,14.625,12.1875,12.9375,8.42015,111439000,9.2337,-0.08810660948482196
12.5625,13.5,11.75,12.625,8.229109,101115800,8.42015,-0.022688550679025976
12.625,12.8125,11.1875,11.75,7.658774,117105400,8.229109,-0.06930701732107314
11.8125,12.8125,11.1875,12.125,7.903206,109167800,7.658774,0.03191529088075984
12.375,13.125,11.9375,12.5,8.162065,79164200,7.903206,0.03275366983980943
12.5,12.75,11.8125,12.3125,8.039639,102976600,8.162065,-0.014999390472876795
12.375,13.0,11.5,11.6875,7.644633,122978800,8.039639,-0.049132305567451406
11.8125,12.1875,11.25,11.75,7.685519,87277000,7.644633,0.005348327382099338
11.75,12.25,11.25,11.625,7.603759,123955600,7.685519,-0.010638188520515013
11.5625,11.625,10.5,10.625,6.96198,153246600,7.603759,-0.08440285916478951
10.6875,11.625,10.25,11.4375,7.494366,136212000,6.96198,0.07647048684425983
11.5625,12.125,11.4375,11.875,7.781041,106559600,7.494366,0.03825206828703043
11.9375,12.9375,11.875,12.8125,8.395329,134599200,7.781041,0.07894676303594861
12.8125,13.0625,11.6875,11.875,7.796712,116585600,8.395329,-0.0713035784541618
11.75,12.8125,11.375,12.4375,8.166028,146709400,7.796712,0.047368172634823624
12.5,13.5,12.25,13.375,8.781563,142376000,8.166028,0.07537752748337367
13.375,13.8125,12.8125,13.3125,8.757781,109302400,8.781563,-0.0027081739321349607
13.3125,13.3125,12.125,12.25,8.058803,132467800,8.757781,-0.07981222640757979
12.3125,12.9375,12.3125,12.375,8.157349,121403800,8.058803,0.012228366917518718
12.3125,12.4375,10.75,10.8125,7.127381,195144800,8.157349,-0.12626258849535554
10.8125,12.5,10.8125,12.0,7.910159,134228200,7.127381,0.10982687750240938
12.0625,12.25,11.0625,11.125,7.348372,127829800,7.910159,-0.07102094913642065
11.125,12.0625,9.546875,10.1875,6.729128,241488400,7.348372,-0.08426954977238499
10.125,11.4375,10.0625,10.625,7.018111,181546000,6.729128,0.04294508887332804
10.75,12.375,10.5,11.5,7.596067,190733400,7.018111,0.08235207451121807
11.625,11.9375,10.75,11.9375,7.902446,145831800,7.596067,0.04033389910857821
11.9375,13.1875,11.625,12.9375,8.564432,179406600,7.902446,0.08376975938842213
13.0,13.25,12.3125,12.6875,8.398939,139950200,8.564432,-0.01932328962387697
12.6875,12.6875,10.875,12.0,7.959735,111353200,8.398939,-0.05229279555429567
12.0,14.0,12.0,13.1875,8.747419,155163000,7.959735,0.09895857085694448
13.0,14.0,12.8125,13.1875,8.76438,107892000,8.747419,0.0019389719413234197
13.0,14.125,12.75,13.25,8.805919,122870400,8.76438,0.004739525214561668
13.375,13.5625,12.0,12.75,8.473616,163109200,8.805919,-0.037736322580300796
12.8125,13.0625,11.375,11.375,7.559799,141203000,8.473616,-0.10784262586362181
11.5,12.125,11.0,11.875,7.908799,191456000,7.559799,0.04616524857340787
11.875,13.5,11.5,13.1875,8.782921,172880800,7.908799,0.11052525168486382
13.125,14.9375,13.125,13.9375,9.282425,228633600,8.782921,0.05687219548029643
13.8125,14.4375,13.5,14.0625,9.387883,137624200,9.282425,0.011361039814488105
14.0,15.3125,13.9375,14.9375,9.972018,141164600,9.387883,0.06222222837672775
15.0,16.96875,14.9375,16.90625,11.286324,144739800,9.972018,0.13179940108411348
16.96875,19.5625,16.59375,18.75,12.542737,168500800,11.286324,0.11132171998606455
18.75,19.5,17.375,17.75,11.873792,130566000,12.542737,-0.053333255731982665
17.96875,19.78125,17.90625,18.3125,12.250062,122852200,11.873792,0.03168911835410282
18.46875,18.625,15.125,17.5,11.727399,138812600,12.250062,-0.042666151403968344
18.3125,20.4375,17.875,20.03125,13.423681,108122600,11.727399,0.14464264411912642
20.125,20.96875,18.375,19.71875,13.214265,105818400,13.423681,-0.015600489910330917
19.71875,20.96875,18.78125,19.90625,13.362217,113176600,13.214265,0.011196385118657837
20.46875,23.96875,20.09375,23.15625,15.543806,109165400,13.362217,0.1632654970354097
23.34375,26.125,23.25,25.40625,17.054136,136236400,15.543806,0.09716603513965616
25.40625,26.96875,24.09375,25.28125,16.995993,119430600,17.054136,-0.0034093195926196973
25.625,28.1875,24.875,27.5625,18.529631,102331600,16.995993,0.09023526898369516
27.84375,31.4375,27.6875,30.375,20.420401,129212400,18.529631,0.10204034824007024
30.78125,34.84375,29.875,31.5625,21.247627,133845800,20.420401,0.04050978234952396
31.34375,34.90625,28.625,29.5,19.859161,166958400,21.247627,-0.06534687379442428
29.75,32.375,26.9375,27.3125,18.386553,199474200,19.859161,-0.07415257875194226
27.0,34.71875,26.21875,34.53125,23.275213,193481400,18.386553,0.2658823543488549
34.65625,38.625,33.40625,37.65625,25.381546,130600000,23.275213,0.09049683025457167
37.125,41.375,35.71875,40.71875,27.445793,120595400,25.381546,0.0813286550787724
40.8125,43.21875,38.6875,43.0,29.013205,131455400,27.445793,0.057109371917218876
42.875,44.75,40.25,43.0625,29.055367,130111800,29.013205,0.001453200361697382
43.5625,49.1875,41.8125,46.09375,31.100636,178599600,29.055367,0.07039212411256068
46.71875,53.40625,43.1875,46.0,31.069736,201200800,31.100636,-0.0009935488135999204
45.875,47.625,41.0,42.625,28.790167,163092500,31.069736,-0.07336943577505772
42.6875,48.5,42.1875,48.25,32.589455,130989500,28.790167,0.1319647781133051
47.9375,51.0,42.25,42.25,28.570507,105348500,32.589455,-0.12332050351869961
42.3125,48.4375,38.875,44.3125,29.965216,127936900,28.570507,0.04881638957264567
44.3125,48.0,43.5625,47.5625,32.162937,106449500,29.965216,0.07334240474021603
48.0,58.5,47.5625,56.3125,38.120518,152005100,32.162937,0.18523124924816403
57.25,60.6875,55.0,57.625,39.00901,119991500,38.120518,0.0233074482356197
57.6875,70.25,57.0,69.125,46.79388,137085100,39.00901,0.19956594643134995
68.375,69.0,53.5,54.75,37.090439,135751100,46.79388,-0.2073655999459758
55.0,60.125,43.4375,48.75,33.025749,230040300,37.090439,-0.10958861932046704
49.875,60.75,45.625,56.5,38.27599,231782500,33.025749,0.15897416891286875
56.625,64.9375,51.75,55.375,37.561043,136390700,38.27599,-0.018678733064775077
56.375,60.0,49.5,57.625,39.087234,144407300,37.561043,0.04063228489155657
57.125,60.0625,51.625,57.625,39.087234,129622000,39.087234,0.0
57.25,62.9375,54.25,55.25,37.517174,107293500,39.087234,-0.04016810194346332
54.0,57.625,47.125,47.625,32.33947,192477600,37.517174,-0.13800890226966456
47.5625,54.75,46.875,48.125,32.678993,150950500,32.33947,0.010498718748328306
48.1875,48.625,41.4375,45.375,30.84589,217333800,32.678993,-0.05609423154501725
46.5,52.1875,42.5625,52.1875,35.477032,196379900,30.84589,0.1501380572906148
52.625,55.9375,46.9375,53.125,36.114342,172787800,35.477032,0.01796401683207316
53.125,58.75,50.4375,56.799999,38.660931,179925700,36.114342,0.07051461715680696
56.799999,56.799999,48.049999,50.09,34.093777,136950200,38.660931,-0.11813357521059165
49.25,51.900002,45.200001,50.5,34.372833,169447700,34.093777,0.008184954104674125
50.0,53.299999,47.41,51.740002,35.268406,149743600,34.372833,0.02605467521399829
51.720001,54.75,51.0,51.75,35.27523,146569900,35.268406,0.00019348762175419587
51.540001,52.450001,48.0,48.799999,33.26437,122370700,35.27523,-0.05700487282435862
48.950001,56.5,46.709999,55.900002,38.158722,154027100,33.26437,0.14713496753433164
55.400002,56.77,47.240002,48.049999,32.800129,151455300,38.158722,-0.14042904791203437
48.23,49.950001,42.0,49.5,33.789921,174327700,32.800129,0.0301764666840183
49.5,54.75,48.139999,51.400002,35.141159,187933400,33.789921,0.03998938026519805
51.200001,56.240002,50.860001,55.150002,37.704952,158067900,35.141159,0.07295698471413536
55.060001,58.740002,53.029999,57.549999,39.345795,135601900,37.704952,0.04351797079598474
57.650002,59.98,55.310001,59.98,41.058643,150831500,39.345795,0.04353319077680329
59.700001,62.880001,58.099998,62.009998,42.448265,151688900,41.058643,0.033844810701610495
62.200001,63.939999,60.299999,61.299999,41.962246,151343400,42.448265,-0.011449678803126528
60.349998,61.849998,55.459999,55.860001,38.283588,173902500,41.962246,-0.087665898531742
55.599998,59.299999,53.610001,54.099998,37.077381,174180400,38.283588,-0.03150715653924596
